id,annotator,text,L1_label,L2_label,full_label
1,A_1,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
1,A_2,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
1,A_3,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
1,A_4,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
1,A_5,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
1,A_6,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
1,A_7,"Hello, I need to reset my password. I have forgotten the current one and can't log in. Can you please send me a reset link?",Account Management,Password Reset,Account Management_Password Reset
2,A_1,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
2,A_2,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
2,A_3,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
2,A_4,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
2,A_5,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
2,A_6,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
2,A_7,"Hi team, the 'Export to CSV' button in the reports section is not working. When I click it, nothing happens. Please investigate.",Technical Issue,Feature Bug,Technical Issue_Feature Bug
3,A_1,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Refund Request,Billing_Refund Request
3,A_2,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Refund Request,Billing_Refund Request
3,A_3,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Refund Request,Billing_Refund Request
3,A_4,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Refund Request,Billing_Refund Request
3,A_5,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Refund Request,Billing_Refund Request
3,A_6,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Unrecognized Charge,Billing_Unrecognized Charge
3,A_7,I was charged twice this month for my subscription. My account ID is 8821. Please issue a refund for the duplicate charge.,Billing,Refund Request,Billing_Refund Request
4,A_1,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
4,A_2,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
4,A_3,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
4,A_4,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
4,A_5,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
4,A_6,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
4,A_7,Could you please tell me how to update the email address on my profile? I can't seem to find the option in the settings menu.,Account Management,Update Personal Info,Account Management_Update Personal Info
5,A_1,"The app feels very slow today. Every page takes at least 30 seconds to load, which is much slower than usual. Is there an ongoing server issue?",Technical Issue,Performance Issue,Technical Issue_Performance Issue
5,A_2,"The app feels very slow today. Every page takes at least 30 seconds to load, which is much slower than usual. Is there an ongoing server issue?",Technical Issue,Performance Issue,Technical Issue_Performance Issue
5,A_3,"The app feels very slow today. Every page takes at least 30 seconds to load, which is much slower than usual. Is there an ongoing server issue?",Technical Issue,Performance Issue,Technical Issue_Performance Issue
5,A_4,"The app feels very slow today. Every page takes at least 30 seconds to load, which is much slower than usual. Is there an ongoing server issue?",Technical Issue,Performance Issue,Technical Issue_Performance Issue
